Wall time,Step,Value
1714516843.7838888,500,-6942.85693359375
1714516854.48342,1000,-6971.4287109375
1714516865.265952,1500,-6980.9521484375
1714516875.8736854,2000,-6985.71435546875
1714516886.298346,2500,-6988.5712890625
1714516896.7479827,3000,-6990.47607421875
1714516907.52609,3500,-6991.8369140625
1714516917.8376975,4000,-6992.85693359375
1714516928.8066862,4500,-6993.65087890625
1714516939.5513313,5000,-6994.28564453125
1714516950.502836,5500,-6994.80517578125
1714516961.055848,6000,-6995.23828125
1714516972.4504511,6500,-6995.6044921875
1714516983.0614562,7000,-6995.91845703125
1714516994.543652,7500,-7000.0
1714517005.2478647,8000,-7000.0
1714517015.7696846,8500,-7000.0
1714517026.6814215,9000,-7000.0
1714517037.1544874,9500,-7000.0
1714517047.9067802,10000,-7000.0
1714517059.2186294,10500,-7000.0
1714517069.8516397,11000,-7000.0
1714517080.7615721,11500,-7000.0
1714517091.261833,12000,-7000.0
1714517101.9491136,12500,-7000.0
1714517112.2207797,13000,-7000.0
1714517123.3591278,13500,-7000.0
1714517135.211678,14000,-7000.0
1714517145.7615101,14500,-7000.0
1714517156.524624,15000,-7000.0
1714517167.1751819,15500,-7000.0
1714517177.9439354,16000,-7000.0
1714517188.8015387,16500,-7000.0
1714517199.654267,17000,-7000.0
1714517210.3815508,17500,-7000.0
1714517220.680013,18000,-7000.0
1714517231.2685316,18500,-7000.0
1714517241.950632,19000,-7000.0
1714517252.0951772,19500,-7000.0
1714517262.9726331,20000,-7000.0
1714517273.2768824,20500,-7000.0
1714517283.6829717,21000,-7000.0
1714517294.418035,21500,-7000.0
1714517305.298731,22000,-7000.0
1714517315.7804894,22500,-7000.0
1714517326.0140493,23000,-7000.0
1714517337.1711836,23500,-7000.0
1714517348.2829964,24000,-7000.0
1714517359.1569707,24500,-7000.0
1714517369.5520797,25000,-7000.0
1714517380.0181057,25500,-7000.0
1714517391.0154996,26000,-7000.0
1714517401.5573878,26500,-7000.0
1714517412.3273273,27000,-7000.0
1714517423.6472077,27500,-7000.0
1714517434.6789584,28000,-7000.0
1714517445.572303,28500,-7000.0
1714517456.3002532,29000,-7000.0
1714517466.4859307,29500,-7000.0
1714517477.0096781,30000,-7000.0
1714517487.7476757,30500,-7000.0
1714517498.04886,31000,-7000.0
1714517508.808911,31500,-7000.0
1714517519.7250812,32000,-7000.0
1714517530.6075647,32500,-7000.0
1714517541.10814,33000,-7000.0
1714517551.862417,33500,-7000.0
1714517562.4520712,34000,-7000.0
1714517573.4157603,34500,-7000.0
1714517584.369661,35000,-7000.0
1714517594.8760536,35500,-7000.0
1714517605.640643,36000,-7000.0
1714517616.7696235,36500,-7000.0
1714517627.732796,37000,-7000.0
1714517638.6492243,37500,-7000.0
1714517649.4860837,38000,-7000.0
1714517660.225194,38500,-7000.0
1714517670.6592448,39000,-7000.0
1714517681.520091,39500,-7000.0
1714517692.135771,40000,-7000.0
1714517702.952624,40500,-7000.0
1714517713.8745914,41000,-7000.0
1714517724.854692,41500,-7000.0
1714517735.5940106,42000,-7000.0
1714517746.390976,42500,-7000.0
1714517756.7700107,43000,-7000.0
1714517767.6305377,43500,-7000.0
1714517778.667621,44000,-7000.0
1714517790.0988946,44500,-7000.0
1714517800.8159034,45000,-7000.0
1714517811.9231217,45500,-7000.0
1714517822.4482186,46000,-7000.0
1714517832.5872085,46500,-7000.0
1714517843.216343,47000,-7000.0
1714517854.0444543,47500,-7000.0
1714517864.53267,48000,-7000.0
1714517875.3060377,48500,-7000.0
1714517886.2605379,49000,-7000.0
1714517897.1327522,49500,-7000.0
1714517908.4610581,50000,-7000.0
1714517919.3883147,50500,-7000.0
1714517930.246164,51000,-7000.0
1714517941.374273,51500,-7000.0
1714517952.3657253,52000,-7000.0
1714517963.293632,52500,-7000.0
1714517973.6787672,53000,-7000.0
1714517984.3106616,53500,-7000.0
1714517994.758151,54000,-7000.0
1714518005.3590276,54500,-7000.0
1714518015.3087776,55000,-7000.0
1714518025.821575,55500,-7000.0
1714518037.0499847,56000,-7000.0
1714518047.6814501,56500,-7000.0
1714518058.4074464,57000,-7000.0
1714518069.7130682,57500,-7000.0
1714518080.656702,58000,-7000.0
1714518091.6959305,58500,-7000.0
1714518102.3359911,59000,-7000.0
1714518113.5769372,59500,-7000.0
1714518124.8627484,60000,-7000.0
1714518135.143779,60500,-7000.0
1714518145.6908014,61000,-7000.0
1714518156.2422185,61500,-7000.0
1714518166.9002614,62000,-7000.0
1714518177.4050534,62500,-7000.0
1714518188.8314843,63000,-7000.0
1714518199.7131379,63500,-7000.0
1714518210.3928847,64000,-7000.0
1714518221.1725485,64500,-7000.0
1714518232.0764585,65000,-7000.0
1714518243.4316614,65500,-7000.0
1714518253.6986036,66000,-7000.0
1714518264.3220603,66500,-7000.0
1714518274.710895,67000,-7000.0
1714518285.213813,67500,-7000.0
1714518296.0363836,68000,-7000.0
1714518306.8827882,68500,-7000.0
1714518317.9203622,69000,-7000.0
1714518329.0543168,69500,-7000.0
1714518339.8588815,70000,-7000.0
1714518350.4650385,70500,-7000.0
1714518361.5349867,71000,-7000.0
1714518372.0361917,71500,-7000.0
1714518383.2842145,72000,-7000.0
1714518393.8859072,72500,-7000.0
1714518404.8705473,73000,-7000.0
1714518415.8834949,73500,-7000.0
1714518426.4957063,74000,-7000.0
1714518436.9600172,74500,-7000.0
1714518447.9899209,75000,-7000.0
1714518459.2164001,75500,-7000.0
1714518469.851419,76000,-7000.0
1714518481.0414858,76500,-7000.0
1714518491.7552269,77000,-7000.0
1714518501.4989285,77500,-7000.0
1714518512.6473866,78000,-7000.0
1714518523.42426,78500,-7000.0
1714518534.379207,79000,-7000.0
1714518544.558019,79500,-7000.0
1714518555.2416286,80000,-7000.0
1714518566.4173906,80500,-7000.0
1714518577.1452606,81000,-7000.0
