Wall time,Step,Value
1714643686.8102627,500,-6099.68798828125
1714643697.4030275,1000,-5368.2099609375
1714643707.5975764,1500,-5255.392578125
1714643718.2017922,2000,-4987.8896484375
1714643729.0306668,2500,-5038.8544921875
1714643739.3613262,3000,-4952.15576171875
1714643749.916893,3500,-4899.2841796875
1714643762.3024323,4000,-4938.73583984375
1714643773.0550978,4500,-4769.9921875
1714643783.9045224,5000,-4821.263671875
1714643794.8979301,5500,-4876.841796875
1714643806.1457496,6000,-4701.2509765625
1714643816.7510285,6500,-4705.24951171875
1714643827.5569682,7000,-4764.28173828125
1714643838.40156,7500,-4872.3251953125
1714643848.9024422,8000,-4840.33544921875
1714643859.8415356,8500,-4921.345703125
1714643870.8536766,9000,-4977.3671875
1714643881.3301673,9500,-4926.36669921875
1714643892.287389,10000,-5053.39990234375
1714643902.9583426,10500,-4978.39794921875
1714643913.871824,11000,-4986.42138671875
1714643924.7102253,11500,-5131.43310546875
1714643935.5184019,12000,-5047.41064453125
1714643946.5200703,12500,-5185.4541015625
1714643956.9884598,13000,-5127.43212890625
1714643967.6884446,13500,-5084.431640625
1714643978.5116868,14000,-5097.41064453125
1714643989.6215458,14500,-5077.41015625
1714644000.5826592,15000,-5075.43212890625
1714644011.6980116,15500,-5045.4208984375
1714644022.463934,16000,-5038.421875
1714644033.126178,16500,-5086.43212890625
1714644043.5487769,17000,-4998.41064453125
1714644054.0392053,17500,-4969.388671875
1714644065.0575573,18000,-4778.35595703125
1714644075.3631809,18500,-4839.3681640625
1714644086.8197432,19000,-4916.3681640625
1714644097.7793956,19500,-4900.37890625
1714644108.5263948,20000,-4901.3896484375
1714644118.208972,20500,-4859.38916015625
1714644129.0791798,21000,-4800.37890625
1714644139.317907,21500,-4858.38818359375
1714644150.0503783,22000,-4731.3427734375
1714644160.4764323,22500,-4802.36376953125
1714644171.0845435,23000,-4755.396484375
1714644182.2212436,23500,-4905.4296875
1714644192.8344722,24000,-4808.42919921875
1714644203.2015166,24500,-4783.43994140625
1714644213.6440709,25000,-4651.4072265625
1714644223.6429172,25500,-4557.36376953125
1714644234.5947642,26000,-4649.3955078125
1714644245.232385,26500,-4643.37353515625
1714644255.4033964,27000,-4686.3984375
1714644265.152372,27500,-4579.37548828125
1714644275.595437,28000,-4553.3759765625
1714644286.8983607,28500,-4609.3974609375
1714644297.7687404,29000,-4544.33251953125
1714644308.8854089,29500,-4487.2900390625
1714644319.7616494,30000,-4548.30029296875
1714644330.1102283,30500,-4606.28955078125
1714644340.3981974,31000,-4677.31103515625
1714644350.66431,31500,-4562.30029296875
1714644361.773905,32000,-4566.30029296875
1714644372.6948073,32500,-4553.30126953125
1714644383.1592367,33000,-4656.31298828125
