Wall time,Step,Value
1714439169.5410497,2048,-4252.994140625
1714439310.12137,4096,-4309.1796875
1714439451.9381268,6144,-4382.28369140625
1714439594.8013287,8192,-4478.26171875
1714439735.089446,10240,-4745.31787109375
1714439874.8859937,12288,-4806.31689453125
1714440016.6169214,14336,-4841.4052734375
1714440158.6930768,16384,-4571.2958984375
1714440301.645328,18432,-4535.24072265625
1714440442.5805473,20480,-4314.2392578125
1714440581.784857,22528,-4170.21533203125
1714440722.6914752,24576,-4094.17236328125
1714440865.8678553,26624,-4244.197265625
1714441006.7087657,28672,-4178.1962890625
1714441147.8114133,30720,-3609.0966796875
1714441290.2134287,32768,-3179.096435546875
1714441430.8662236,34816,-3034.084716796875
1714441572.0649881,36864,-3126.095703125
1714441712.848527,38912,-3037.088623046875
1714441853.4746575,40960,-2571.013427734375
1714441994.8457878,43008,-3194.111328125
1714442135.7820308,45056,-3677.19482421875
1714442278.847069,47104,-3354.189453125
1714442421.9403229,49152,-3449.232666015625
1714442562.1264725,51200,-3697.25830078125
1714442701.0737247,53248,-3636.23828125
1714442841.1260886,55296,-3288.1396484375
1714442980.7363834,57344,-3064.086181640625
1714443123.4022393,59392,-2573.044189453125
1714443264.836111,61440,-2570.001220703125
1714443405.0059738,63488,-2574.97998046875
1714443546.4322393,65536,-2293.991943359375
1714443688.6159565,67584,-1950.94091796875
1714443829.434994,69632,-2278.990478515625
1714443970.080444,71680,-2299.002197265625
1714444112.174026,73728,-2238.967041015625
1714444253.5671241,75776,-2226.955322265625
1714444394.4683948,77824,-2097.93310546875
1714444536.8831637,79872,-2073.94189453125
1714444678.2554696,81920,-1981.921875
1714444819.443977,83968,-1996.95263671875
1714444958.2646675,86016,-1585.9222412109375
1714445101.552413,88064,-1780.9329833984375
1714445245.37413,90112,-1694.947021484375
1714445386.1117902,92160,-1620.9361572265625
1714445527.9673293,94208,-1633.9168701171875
1714445670.60366,96256,-1419.9229736328125
1714445814.3823,98304,-1472.919921875
1714445956.6909585,100352,-1338.9105224609375
1714446096.2529101,102400,-1294.9129638671875
1714446235.1883407,104448,-1350.92041015625
1714446376.1581926,106496,-1343.9248046875
1714446520.2108626,108544,-1329.9107666015625
1714446660.9149914,110592,-1186.9205322265625
1714446804.6845565,112640,-1247.9129638671875
1714446945.4558065,114688,-1390.9246826171875
1714447087.8035452,116736,-1157.913330078125
1714447233.9468338,118784,-1169.9102783203125
1714447373.6503196,120832,-1168.91552734375
1714447517.1716483,122880,-1131.90966796875
1714447659.9933307,124928,-998.914306640625
1714447798.752412,126976,-1068.9102783203125
1714447940.5393238,129024,-1173.911376953125
1714448081.882302,131072,-922.9124145507812
1714448225.6711574,133120,-924.9163818359375
1714448367.844332,135168,-878.913330078125
1714448507.141063,137216,-905.9102172851562
1714448647.615955,139264,-831.9113159179688
1714448788.9571376,141312,-962.915283203125
1714448932.3220599,143360,-801.9113159179688
1714449073.2067044,145408,-777.9122314453125
1714449216.901935,147456,-817.9072265625
1714449356.733336,149504,-814.9103393554688
1714449499.3660636,151552,-787.9091186523438
1714449638.8413453,153600,-739.90966796875
1714449778.6336143,155648,-654.909423828125
1714449922.3577886,157696,-702.9118041992188
1714450062.039671,159744,-779.9114379882812
1714450204.7543275,161792,-719.9149169921875
1714450346.1010084,163840,-571.9093017578125
1714450487.923841,165888,-620.9093017578125
1714450630.7680657,167936,-581.91259765625
1714450770.5266914,169984,-583.9127807617188
1714450911.2064018,172032,-469.91412353515625
1714451054.948697,174080,-503.9119567871094
