Wall time,Step,Value
1714578034.2421105,2048,-4980.01123046875
1714578173.419948,4096,-5873.544921875
1714578316.0828898,6144,-6221.068359375
1714578458.9175534,8192,-6767.94580078125
1714578599.3528783,10240,-7000.0
1714578740.769224,12288,-7000.0
1714578883.2986479,14336,-7000.0
1714579021.9503834,16384,-7000.0
1714579162.5577667,18432,-7000.0
1714579305.6587093,20480,-7000.0
1714579448.5922952,22528,-7000.0
1714579591.452762,24576,-7000.0
1714579735.3604078,26624,-7000.0
1714579877.0387995,28672,-7000.0
1714580018.3562431,30720,-7000.0
1714580160.2979908,32768,-7000.0
1714580300.941574,34816,-7000.0
1714580441.9516158,36864,-7000.0
1714580586.3877668,38912,-7000.0
1714580725.641071,40960,-7000.0
1714580867.348158,43008,-7000.0
1714581010.3140364,45056,-7000.0
1714581150.0979824,47104,-7000.0
1714581293.1966028,49152,-7000.0
1714581437.0758579,51200,-7000.0
1714581578.3005884,53248,-7000.0
1714581715.426266,55296,-7000.0
1714581853.7891943,57344,-7000.0
1714581995.5295248,59392,-7000.0
1714582140.3562536,61440,-7000.0
1714582278.4434063,63488,-7000.0
1714582421.2188668,65536,-7000.0
1714582563.0490754,67584,-7000.0
1714582704.3494005,69632,-7000.0
1714582845.7253635,71680,-7000.0
1714582988.2622402,73728,-7000.0
1714583127.8346121,75776,-7000.0
1714583268.8190722,77824,-7000.0
1714583410.1172585,79872,-7000.0
1714583549.5703213,81920,-7000.0
1714583691.80026,83968,-7000.0
1714583832.3052087,86016,-7000.0
1714583975.498956,88064,-7000.0
1714584114.6898396,90112,-7000.0
1714584255.7774599,92160,-7000.0
1714584397.763632,94208,-7000.0
1714584536.3169775,96256,-7000.0
1714584678.7792635,98304,-7000.0
1714584818.3134928,100352,-7000.0
1714584959.9771442,102400,-7000.0
1714585096.1174784,104448,-7000.0
1714585236.3512619,106496,-7000.0
1714585378.20079,108544,-7000.0
1714585521.6805353,110592,-7000.0
1714585662.7719617,112640,-7000.0
1714585803.222047,114688,-7000.0
1714585943.904684,116736,-7000.0
1714586083.6532936,118784,-7000.0
1714586225.3915832,120832,-7000.0
1714586364.705703,122880,-7000.0
1714586505.1038487,124928,-7000.0
1714586647.6472614,126976,-7000.0
1714586790.5048223,129024,-7000.0
1714586934.3815439,131072,-7000.0
1714587075.5634384,133120,-7000.0
1714587218.9008043,135168,-7000.0
1714587360.2394943,137216,-7000.0
1714587499.4393356,139264,-7000.0
1714587640.3171003,141312,-7000.0
1714587780.288761,143360,-7000.0
1714587920.283349,145408,-7000.0
1714588058.9514723,147456,-7000.0
1714588201.1453648,149504,-7000.0
1714588342.5706565,151552,-7000.0
1714588480.5826895,153600,-7000.0
1714588622.5934327,155648,-7000.0
1714588765.2281058,157696,-7000.0
1714588903.9724345,159744,-7000.0
1714589042.4536774,161792,-7000.0
1714589183.8124096,163840,-7000.0
1714589324.0766678,165888,-7000.0
1714589468.8860662,167936,-7000.0
1714589607.063026,169984,-7000.0
1714589748.2118626,172032,-7000.0
1714589890.8398445,174080,-7000.0
1714590032.7914586,176128,-7000.0
1714590170.1039422,178176,-7000.0
1714590311.2240458,180224,-7000.0
1714590451.726538,182272,-7000.0
1714590595.9138904,184320,-7000.0
1714590735.8452907,186368,-7000.0
1714590877.3608143,188416,-7000.0
1714591019.2802045,190464,-7000.0
1714591157.9947445,192512,-7000.0
1714591297.7159975,194560,-7000.0
1714591438.2692327,196608,-7000.0
1714591576.8512528,198656,-7000.0
1714591718.099756,200704,-7000.0
1714591858.946608,202752,-7000.0
1714592000.5751922,204800,-7000.0
1714592141.6687133,206848,-7000.0
1714592282.2061322,208896,-7000.0
1714592424.383277,210944,-7000.0
1714592566.3829908,212992,-7000.0
1714592709.0584342,215040,-7000.0
1714592847.9510615,217088,-7000.0
1714592989.107852,219136,-7000.0
1714593128.4934874,221184,-7000.0
1714593269.484297,223232,-7000.0
1714593411.8425453,225280,-7000.0
1714593550.814504,227328,-7000.0
1714593692.6971564,229376,-7000.0
1714593832.4378538,231424,-7000.0
1714593973.9209301,233472,-7000.0
1714594112.0538867,235520,-7000.0
1714594252.5668237,237568,-7000.0
1714594392.4529731,239616,-7000.0
1714594533.6419117,241664,-7000.0
1714594672.922094,243712,-7000.0
1714594815.5142741,245760,-7000.0
1714594956.8005817,247808,-7000.0
1714595097.87041,249856,-7000.0
1714595241.4152858,251904,-7000.0
1714595382.5260615,253952,-7000.0
1714595523.2541196,256000,-7000.0
1714595665.8307502,258048,-7000.0
1714595806.0269217,260096,-7000.0
1714595947.2660007,262144,-7000.0
1714596091.6992354,264192,-7000.0
1714596234.3254259,266240,-7000.0
1714596376.494315,268288,-7000.0
1714596517.034802,270336,-7000.0
1714596656.628,272384,-7000.0
1714596797.6605089,274432,-7000.0
1714596940.2454407,276480,-7000.0
1714597081.5569658,278528,-7000.0
1714597221.8194895,280576,-7000.0
1714597365.327642,282624,-7000.0
1714597508.5387363,284672,-7000.0
1714597649.9540796,286720,-7000.0
1714597790.3815372,288768,-7000.0
1714597931.6867785,290816,-7000.0
1714598073.761462,292864,-7000.0
1714598212.1907837,294912,-7000.0
1714598351.7177947,296960,-7000.0
1714598494.77879,299008,-7000.0
1714598642.7019317,301056,-7000.0
1714598785.1328435,303104,-7000.0
1714598924.9875166,305152,-7000.0
1714599066.3552604,307200,-7000.0
1714599208.88182,309248,-7000.0
1714599352.096172,311296,-7000.0
1714599492.7613704,313344,-7000.0
1714599634.0035203,315392,-7000.0
1714599773.8029897,317440,-7000.0
1714599917.2293174,319488,-7000.0
1714600058.646657,321536,-7000.0
1714600201.1091814,323584,-7000.0
1714600340.6801775,325632,-7000.0
1714600482.8705566,327680,-7000.0
1714600625.4647088,329728,-7000.0
1714600765.5587993,331776,-7000.0
1714600909.4251122,333824,-7000.0
1714601051.3542483,335872,-7000.0
1714601193.1061046,337920,-7000.0
1714601331.8775268,339968,-7000.0
1714601472.2128868,342016,-7000.0
1714601613.206072,344064,-7000.0
1714601755.0089667,346112,-7000.0
1714601894.193025,348160,-7000.0
1714602037.4155872,350208,-7000.0
1714602178.0893621,352256,-7000.0
1714602319.7072382,354304,-7000.0
1714602458.0475647,356352,-7000.0
1714602599.205517,358400,-7000.0
1714602740.691515,360448,-7000.0
1714602881.1289582,362496,-7000.0
1714603019.7946033,364544,-7000.0
1714603161.040694,366592,-7000.0
1714603300.549172,368640,-7000.0
1714603443.2076273,370688,-7000.0
1714603586.8293726,372736,-7000.0
1714603725.34971,374784,-7000.0
1714603866.9723592,376832,-7000.0
1714604007.3045464,378880,-7000.0
1714604148.8279426,380928,-7000.0
1714604289.256592,382976,-7000.0
1714604431.1190324,385024,-7000.0
1714604571.9723432,387072,-7000.0
1714604715.1864388,389120,-7000.0
1714604856.0436342,391168,-7000.0
1714604996.5829368,393216,-7000.0
1714605136.618714,395264,-7000.0
1714605277.173687,397312,-7000.0
1714605418.1719074,399360,-7000.0
1714605557.953884,401408,-7000.0
